Roll Number,45457
Score (%),11.67

Question Number,Student Answer,Correct Answer,Result
1,B,B,Correct
2,C,D,Incorrect
3,Blank,A,Incorrect
4,B,C,Incorrect
5,Blank,B,Incorrect
6,Blank,A,Incorrect
7,B,B,Correct
8,Blank,C,Incorrect
9,C,D,Incorrect
10,Blank,A,Incorrect
11,Blank,B,Incorrect
12,C,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,A,B,Incorrect
16,Error,A,Incorrect
17,Blank,D,Incorrect
18,C,C,Correct
19,Blank,B,Incorrect
20,Blank,A,Incorrect
21,B,B,Correct
22,Blank,C,Incorrect
23,Blank,"A, C",Incorrect
24,Blank,D,Incorrect
25,Blank,B,Incorrect
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,Blank,D,Incorrect
29,A,B,Incorrect
30,A,A,Correct
31,A,D,Incorrect
32,Blank,C,Incorrect
33,D,B,Incorrect
34,Blank,A,Incorrect
35,Blank,B,Incorrect
36,A,C,Incorrect
37,Blank,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,A,C,Incorrect
41,Blank,A,Incorrect
42,Blank,B,Incorrect
43,Blank,D,Incorrect
44,Blank,C,Incorrect
45,B,A,Incorrect
46,A,B,Incorrect
47,Blank,D,Incorrect
48,Blank,A,Incorrect
49,C,C,Correct
50,Blank,B,Incorrect
51,Blank,D,Incorrect
52,B,A,Incorrect
53,Blank,B,Incorrect
54,A,C,Incorrect
55,Blank,D,Incorrect
56,Blank,A,Incorrect
57,C,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,A,A,Correct
