Roll Number,EEE5E
Score (%),8.33

Question Number,Student Answer,Correct Answer,Result
1,A,B,Incorrect
2,Blank,D,Incorrect
3,Blank,A,Incorrect
4,B,C,Incorrect
5,Blank,B,Incorrect
6,Blank,A,Incorrect
7,Blank,B,Incorrect
8,Blank,C,Incorrect
9,Blank,D,Incorrect
10,Blank,A,Incorrect
11,A,B,Incorrect
12,Blank,D,Incorrect
13,Blank,A,Incorrect
14,Blank,C,Incorrect
15,Blank,B,Incorrect
16,D,A,Incorrect
17,Blank,D,Incorrect
18,Blank,C,Incorrect
19,Blank,B,Incorrect
20,Blank,A,Incorrect
21,B,B,Correct
22,Blank,C,Incorrect
23,Blank,"A, C",Incorrect
24,Blank,D,Incorrect
25,D,B,Incorrect
26,Blank,A,Incorrect
27,Blank,C,Incorrect
28,Blank,D,Incorrect
29,Blank,B,Incorrect
30,A,A,Correct
31,D,D,Correct
32,Blank,C,Incorrect
33,Blank,B,Incorrect
34,Blank,A,Incorrect
35,B,B,Correct
36,Blank,C,Incorrect
37,Blank,A,Incorrect
38,Blank,D,Incorrect
39,Blank,B,Incorrect
40,D,C,Incorrect
41,Blank,A,Incorrect
42,Blank,B,Incorrect
43,Blank,D,Incorrect
44,Blank,C,Incorrect
45,B,A,Incorrect
46,D,B,Incorrect
47,Blank,D,Incorrect
48,Blank,A,Incorrect
49,Blank,C,Incorrect
50,A,B,Incorrect
51,Blank,D,Incorrect
52,Blank,A,Incorrect
53,C,B,Incorrect
54,Blank,C,Incorrect
55,Blank,D,Incorrect
56,D,A,Incorrect
57,Blank,B,Incorrect
58,Blank,C,Incorrect
59,Blank,D,Incorrect
60,A,A,Correct
