Roll Number,Not Enough Bubbles (11)
Score,20

Question Number,Student Answer,Correct Answer,Result
1,Error,B,Incorrect
2,Blank,D,Incorrect
3,B,A,Incorrect
4,Error,C,Incorrect
5,D,B,Incorrect
6,A,A,Correct
7,Blank,B,Incorrect
8,C,C,Correct
9,Blank,D,Incorrect
10,A,A,Correct
11,B,B,Correct
12,Error,D,Incorrect
13,D,A,Incorrect
14,Error,C,Incorrect
15,B,B,Correct
16,C,A,Incorrect
16,Error,A,Incorrect
17,A,D,Incorrect
18,A,C,Incorrect
19,B,B,Correct
20,C,A,Incorrect
21,A,B,Incorrect
22,B,C,Incorrect
23,C,"A, C",Correct
24,D,D,Correct
25,B,B,Correct
26,C,A,Incorrect
27,C,C,Correct
28,D,D,Correct
29,B,B,Correct
30,C,A,Incorrect
31,C,D,Incorrect
32,A,C,Incorrect
37,A,A,Correct
38,B,D,Incorrect
39,C,B,Incorrect
40,D,C,Incorrect
41,C,A,Incorrect
42,B,B,Correct
43,A,D,Incorrect
44,C,C,Correct
45,B,A,Incorrect
46,C,B,Incorrect
46,Blank,B,Incorrect
47,B,D,Incorrect
47,A,D,Incorrect
48,Error,A,Incorrect
48,B,A,Incorrect
49,C,C,Correct
49,C,C,Correct
50,B,B,Correct
50,D,B,Incorrect
51,A,D,Incorrect
51,Blank,D,Incorrect
52,B,A,Incorrect
53,C,B,Incorrect
54,C,C,Correct
55,B,D,Incorrect
56,D,A,Incorrect
57,C,B,Incorrect
58,C,C,Correct
59,C,D,Incorrect
60,B,A,Incorrect
61,D,N/A,Incorrect
62,A,N/A,Incorrect
63,B,N/A,Incorrect
64,B,N/A,Incorrect
65,C,N/A,Incorrect
66,B,N/A,Incorrect
